"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","7400","Invalid Username Valid Password","Approvals","2026-09-09","failed","2026-09-09","","Login","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","45500","Verify Replace Supporting Documents","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","46000","Verify New Draft Version Creation","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","46600","Verify Attach Supporting Documents","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","19000","Empty Username And Password","Approvals","2026-09-09","failed","2026-09-09","","Login","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","46700","Verify Approve Memo","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","45800","Verify Close Memo","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","45400","Verify Mandatory Data Validation","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","46200","Verify Recommend Memo","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","42200","Verify Preview In Pdf","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","46200","Verify Next Button Navigation","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","47200","Verify Can Edit Enabled Shows Edit Button","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","8000","Invalid Login","Approvals","2026-09-09","failed","2026-09-09","","Login","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","45900","Verify Add Referral","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","42000","Verify Withdraw Button","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","45900","Verify Action Required Auto Populate Action Text","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","46300","Verify Take Ownership","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","46800","Verify New Version Created","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","31600","Verify Reassign Function","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","45800","Verify Withdraw Memo","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","46000","Verify Send Back","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","45400","Verify Tabs Under Compose Step","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","42300","Verify Reorder Signatories","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","45900","Verify Retract Functionality","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","8300","Valid Username Invalid Password","Approvals","2026-09-09","failed","2026-09-09","","Login","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","45700","Verify Comments Mandatory For Negative Actions Craig","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","46600","Verify Can Edit Disabled Hides Edit Button","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","45900","Verify Send To Approver First","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","45200","Verify Attachments Next Button Navigation","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","43800","Verify Comments Mandatory For Negative Actions","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","8100","Valid Login","Approvals","2026-09-09","failed","2026-09-09","","Login","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","45500","Verify Edit Delete Signatory","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
"_Backfilled from recorded run history (2026-09-09) — not a live Allure execution._","45500","Verify Cc User In Routing List","Approvals","2026-09-09","failed","2026-09-09","","Memo","",""
