"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","eLeave — SaGov Leave Application","1","0","Negative Path (Validation) — 2026-06-12","0"
"0","","0","eLeave — SaGov Leave Application","3","0","Sick Leave E2E — LA2026/12790","0"
"0","","0","eLeave — SaGov Leave Application","3","0","Maternity Leave E2E — LA2026/12874","0"
"0","","0","eLeave — SaGov Leave Application","2","0","One-Step Approver E2E — LA2026/12991","0"
"0","","0","eLeave — SaGov Leave Application","4","0","Adoption Leave E2E — LA2026/12806","0"
"0","","0","eLeave — Delegation","1","0","Add Delegation via My Profile — Ayanda Nkosi","0"
"0","","0","eLeave — Delegation","4","0","Delegate acts as Thabo — LA2026/12931","0"
"0","","0","eLeave — SaGov Leave Application","3","0","Family Responsibility (Death) E2E — LA2026/12814","0"
"0","","0","eLeave — SaGov Leave Application","4","0","Approve Without Pay E2E — LA2026/12949","0"
"0","","0","eLeave — SaGov Leave Application","4","0","Negative Path (Rejections) — 2026-06-11","0"
"0","","0","eLeave — SaGov Leave Application","3","0","Leave Cancellation E2E — LC:2026-19236","0"
"0","","0","SaGov Change of Supervisor","5","0","SaGov Change of Supervisor E2E — SC2026/09274","0"
"0","","0","SaGov Change of Supervisor","1","0","Negative Path (Rejections) — 2026-06-11","0"
"0","","0","eLeave — SaGov Leave Application","3","0","Annual Leave E2E — LA2026/12721","0"
"0","","0","eLeave — SaGov Leave Application","3","0","Apply for Someone Else E2E — LA2026/12918","0"
"0","","0","eLeave — Delegation","1","0","Future-dated delegation dormant — Andrew Smith","0"
"0","","0","eLeave — Delegation","3","0","Apply-with-Delegation E2E — LA2026/13036","0"
"0","","0","eLeave — SaGov Leave Application","3","0","Backdated Annual Leave E2E — LA2026/12959","0"
