"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","240000","NEG-06: Weekend-only leave blocked at capture (Annual Leave)","HCM","2026-06-12","passed","2026-06-12","","Negative Path — Validation Guards","",""
"","360000","TC-01: Apply — Capture Backdated Sick Leave (Thabo Mthembu, GOV003)","HCM","2026-06-10","passed","2026-06-10","Application for leave (#101941)","eLeave — Sick Leave Happy Path","",""
"","210000","TC-01: Apply — Capture Maternity Leave (Priya Maharaj, 12345678)","HCM","2026-06-11","passed","2026-06-11","Application for leave (#101941)","eLeave — Maternity Leave Happy Path","",""
"","225000","TC-01: Apply — Capture Annual Leave (Martha Doe, gov002)","HCM","2026-06-12","passed","2026-06-12","","eLeave — One-Step Approver (Skip Recommend)","",""
"","480000","TC-01: Apply — Capture Adoption Leave (Thabo Mthembu, GOV003)","HCM","2026-06-10","passed","2026-06-10","Application for leave (#101941)","eLeave — Adoption Leave Happy Path","",""
"","480000","TC-01: Add Delegation from My Profile (Thabo Mthembu, GOV003 → Ayanda Nkosi)","HCM","2026-06-15","passed","2026-06-15","Delegation Appointments","eLeave — Add Delegation via My Profile","",""
"","360000","TC-01: Active-window delegate sees switchable identity (Kavitha Naidoo, GOV012)","HCM","2026-06-15","passed","2026-06-15","Delegated access","eLeave — Delegate Acts on Delegator's Items","",""
"","240000","TC-02: Recommend (Kavitha Naidoo, GOV012 — Infra Manager)","HCM","2026-06-10","passed","2026-06-10","Recommend Leave (#101970)","eLeave — Sick Leave Happy Path","",""
"","120000","TC-03: Approve with Full Pay (Naledi Khumalo, GOV022 — HOD Infrastructure)","HCM","2026-06-10","passed","2026-06-10","Approve leave (#101991)","eLeave — Family Responsibility (Death) Happy Path","",""
"","135000","TC-02: Recommend (Kavitha Naidoo, GOV012 — Infra Manager)","HCM","2026-06-12","passed","2026-06-12","Recommend Leave (#101970)","eLeave — Approve Without Pay Happy Path","",""
"","276000","NEG-04: Decline Cancellation — cancellation Declined, leave stays Approved","HCM","2026-06-11","passed","2026-06-11","","Negative Path — Workflow Rejections","",""
"","86000","TC-01: Initiate Cancellation (Thabo Mthembu, GOV003 — applicant)","HCM","2026-06-11","passed","2026-06-11","Initiate Cancellation (Cancel Leave)","eLeave — Leave Cancellation Happy Path","",""
