"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","TC-14 (#113288): Verify Invalid Email Address Format Is Rejected","chromium","2026-09-02","skipped","2026-09-02","Contacts Directory (ADO suite 112756)","","",""
"","23675","TC-10 (#113284): Verify Mandatory Contact Fields Are Validated","chromium","2026-09-02","passed","2026-09-02","Contacts Directory (ADO suite 112756)","","",""
"","21880","TC-03 (#113277): Verify Contact Can Be Searched","chromium","2026-09-02","passed","2026-09-02","Contacts Directory (ADO suite 112756)","","",""
"","40598","TC-04 (#113278): Verify Contacts Can Be Filtered","chromium","2026-09-02","passed","2026-09-02","Contacts Directory (ADO suite 112756)","","",""
"","21713","TC-05 (#113279): Verify Contact Details Can Be Viewed","chromium","2026-09-02","passed","2026-09-02","Contacts Directory (ADO suite 112756)","","",""
"","5","TC-12 (#113286): Verify Phone Number and Office Number Reject Invalid Digit Length","chromium","2026-09-02","skipped","2026-09-02","Contacts Directory (ADO suite 112756)","","",""
"","84822","TC-06 (#113280): Verify Contact Details Can Be Edited","chromium","2026-09-02","failed","2026-09-02","Contacts Directory (ADO suite 112756)","","",""
"","49587","TC-08 (#113282): Verify Contact Deletion Can Be Cancelled","chromium","2026-09-02","passed","2026-09-02","Contacts Directory (ADO suite 112756)","","",""
"","5","TC-13 (#113287): Verify Email Address Format Validation","chromium","2026-09-02","skipped","2026-09-02","Contacts Directory (ADO suite 112756)","","",""
"","9","TC-11 (#113285): Verify Phone Number and Office Number Accept Exactly 10 Digits","chromium","2026-09-02","skipped","2026-09-02","Contacts Directory (ADO suite 112756)","","",""
"","44158","TC-04 (#112760): Verify Mobile Number accepts a valid number starting with 0","chromium","2026-09-02","passed","2026-09-02","Case Creation (ADO suite 112754)","","",""
"","32861","TC-01 (#113275): Verify Contact Can Be Created","chromium","2026-09-02","passed","2026-09-02","Contacts Directory (ADO suite 112756)","","",""
"","53799","TC-07 (#113281): Verify Contact Can Be Deleted","chromium","2026-09-02","passed","2026-09-02","Contacts Directory (ADO suite 112756)","","",""
"","84977","TC-11 (#112767): Verify address outside Lesedi municipal bounds is rejected","chromium","2026-09-02","failed","2026-09-02","Case Creation (ADO suite 112754)","","",""
"","76939","TC-02 (#112758): Verify mandatory Channel validation","chromium","2026-09-02","failed","2026-09-02","Case Creation (ADO suite 112754)","","",""
"","16464","TC-09 (#113283): Verify Contacts Can Be Exported","chromium","2026-09-02","passed","2026-09-02","Contacts Directory (ADO suite 112756)","","",""
"","22107","TC-02 (#113276): Verify Contacts Are Displayed in the Contacts Directory","chromium","2026-09-02","passed","2026-09-02","Contacts Directory (ADO suite 112756)","","",""
