"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","210500","Verify Edit Identity Number Completeflow","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-16) — not a live Allure execution._","74800","Verify Edit Reference","eRecruitment Public Portal","2026-07-16","passed","2026-07-16","","Profile","",""
"_Backfilled from recorded run history (2026-07-16) — not a live Allure execution._","74700","Verify Delete Reference","eRecruitment Public Portal","2026-07-16","passed","2026-07-16","","Profile","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","203300","Verify Edit First Name","eRecruitment Public Portal","2026-08-05","failed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-04) — not a live Allure execution._","111700","Verify Job Information Summary Details","eRecruitment Public Portal","2026-08-04","passed","2026-08-04","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-30) — not a live Allure execution._","82400","Verify Add Alert Daily","eRecruitment Public Portal","2026-07-30","passed","2026-07-30","","Alerts","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","253000","Verify Category Details Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","189800","Verify Edit Qualification Name","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-16) — not a live Allure execution._","66100","Verify Edit Skills","eRecruitment Public Portal","2026-07-16","passed","2026-07-16","","Profile","",""
"_Backfilled from recorded run history (2026-07-30) — not a live Allure execution._","28600","Refresh The Home Page","eRecruitment Public Portal","2026-07-30","passed","2026-07-30","","Home","",""
"_Backfilled from recorded run history (2026-07-16) — not a live Allure execution._","147000","Verify Add Work Experience","eRecruitment Public Portal","2026-07-16","passed","2026-07-16","","Profile","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","1000","Verify Edit Qualification Status","eRecruitment Public Portal","2026-08-05","failed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","195000","Verify Edit Reasons For Leaving Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","158800","Verify Edit Employer","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","375600","Verify Delete Qualification Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","88000","Verify Recruiter Details Advertiser","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","190900","Verify Edit Email Address","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-30) — not a live Allure execution._","78400","Verify Search By Location","eRecruitment Public Portal","2026-07-30","passed","2026-07-30","","Jobs","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","63600","Verify Advertise Dha Website Functionality","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-04) — not a live Allure execution._","188700","Upload Approved Submission Document","eRecruitment Public Portal","2026-08-04","passed","2026-08-04","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-30) — not a live Allure execution._","51700","Search With Invalid Input","eRecruitment Public Portal","2026-07-30","passed","2026-07-30","","Home","",""
"_Backfilled from recorded run history (2026-08-04) — not a live Allure execution._","103900","Verify Outputs And Competencies Details","eRecruitment Public Portal","2026-08-04","passed","2026-08-04","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","169200","Verify Edit Nature Of Disability Completeflow","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","192100","Verify Pre Screen Workflow Inbox Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-16) — not a live Allure execution._","129100","Verify Delete Tertiary Qualification","eRecruitment Public Portal","2026-07-16","passed","2026-07-16","","Profile","",""
"_Backfilled from recorded run history (2026-07-06) — not a live Allure execution._","198500","Verify Languages","eRecruitment Public Portal","2026-07-06","passed","2026-07-06","","Profile","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","130700","Verify Not Appointed Hrm354 Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-30) — not a live Allure execution._","59500","Verify Clear All Filters","eRecruitment Public Portal","2026-07-30","passed","2026-07-30","","Jobs","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","220100","Verify Edit Mobile Number","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-05) — not a live Allure execution._","50800","Verify View In Pdf Button Advertiser","eRecruitment Public Portal","2026-08-05","passed","2026-08-05","","AdminPortal","",""
"_Backfilled from recorded run history (2026-07-16) — not a live Allure execution._","79100","Verify Add Reference","eRecruitment Public Portal","2026-07-16","passed","2026-07-16","","Profile","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","150300","Verify Interviewed Ref43 Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","208600","Verify Interviewed Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
"_Backfilled from recorded run history (2026-08-06) — not a live Allure execution._","239300","Verify Edit Institution Completeflow","eRecruitment Public Portal","2026-08-06","passed","2026-08-06","","AdminPortal","",""
